ID,SERIAL,Brand_CODE,MODEL_CODE,SUBMODEL_CODE,Vehicle_Brand,Vehicle_model,Vehicle_submodel,VH_YEAR_BEG,VH_YEAR_END,COVER_01_FLAG,COVER_PLUS_FLAG,VEHICLE_MARKET_GROUP,SEDAN_TYPE,SELL_STAT,SUBMODEL_YEAR,EFFECT_DATE,SCALE,WEIGHT,CC,SEAT_NO,CHASSIS_NO_FORMAT,ENGINE_NO_FORMAT,STANDARD_SUMINS,STANDARD_THEFT,80_SUMINS,CAR_GROUP,OLD_STD_SUMINS,OLD_STD_THEFT,CREATE_MODIFY_DATE,CREATE_ID,MODIFY_ID,MODIFY_TIME,MODEL_STATUS,rbm_serial,Redbook_Code
2762,01VK0000033,01,04,VK,TOYOTA,ALPHARD,ALPHARD 2.5 GF HYBRID,2018,2023,Y,Y,01,H,A,2018,25-02-2022,CC,,2500.00,7,,,2870663,2870663,2300000,2,3021750,3021750,16-02-2022,340076,570055,10:35,N,,
2763,01VK0000033,01,04,VK,TOYOTA,ALPHARD,ALPHARD 2.5 GF HYBRID,2018,2023,Y,Y,01,H,A,2019,25-02-2022,CC,,2500.00,7,,,2551700,2551700,2000000,2,2686000,2686000,16-02-2022,340076,570055,10:35,N,,
2764,01VK0000033,01,04,VK,TOYOTA,ALPHARD,ALPHARD 2.5 GF HYBRID,2018,2023,Y,Y,01,H,A,2020,25-02-2022,CC,,2500.00,7,,,3002000,3002000,2400000,2,3160000,3160000,16-02-2022,340076,570055,10:35,N,,
2765,01VK0000033,01,04,VK,TOYOTA,ALPHARD,ALPHARD 2.5 GF HYBRID,2018,2023,Y,Y,01,H,A,2021,01-04-2022,CC,,2500.00,7,,,3100000,3100000,2500000,2,2800000,2800000,,290005,,,N,,
2766,01VK0000033,01,04,VK,TOYOTA,ALPHARD,ALPHARD 2.5 GF HYBRID,2018,2023,Y,Y,01,H,A,2022,01-01-2023,CC,,2500.00,7,,,2975000,2975000,2400000,2,3500000,3500000,11-10-2022,340076,390159,17:00,N,,
2767,01VK0000033,01,04,VK,TOYOTA,ALPHARD,ALPHARD 2.5 GF HYBRID,2018,2023,Y,Y,01,H,A,2023,01-01-2023,CC,,2500.00,7,,,3500000,3500000,2800000,2,3500000,3500000,,340076,,,A,,
2768,01VL0000033,01,90,VL,TOYOTA,YARIS ATIV,YARIS ATIV S+ 1.2 A,2019,2019,Y,Y,02,4,A,2019,30-09-2022,CC,,1200.00,7,,,434000,434000,350000,5,434000,434000,20-09-2022,570055,REDBOOK,14:33,N,      51598,TOYO19AK
2769,01VM0000033,01,19,VM,TOYOTA,COROLLA,COROLLA ALTIS.1.8 S A,2019,2019,Y,Y,02,2,A,2019,30-09-2022,CC,,1800.00,7,,,582500,582500,470000,4,600500,600500,20-09-2022,570055,REDBOOK,14:33,N,      51660,TOYO19CU
2770,01VN0000033,01,19,VN,TOYOTA,COROLLA,COROLLA ALTIS.1.8 V NAVIGATOR TELEMATIC S,2019,2019,Y,Y,02,2,A,2019,30-09-2022,CC,,1800.00,7,,,663500,663500,530000,4,684000,684000,20-09-2022,570055,REDBOOK,14:33,N,      51662,TOYO19CW
2771,01VO0000033,01,65,VO,TOYOTA,SOLUNA,SOLUNA VIOS ENTRY 1.5,2019,2023,Y,Y,02,4,A,2019,30-09-2022,CC,,1500.00,7,,,420000,420000,340000,5,412000,412000,20-09-2022,570055,REDBOOK,14:33,N,      52648,TOYO19DW
